reserve,Plot.ID,Plot.ID.quadrant,block,quadrant,Trt.comp,Trt.water,focal.sp,neighbour.id,number
bendering,BAH1ED,BAH1ED.1,BAH1,1,E,D,a,Daucus.glochidiatus,7
bendering,BAH1ED,BAH1ED.1,BAH1,1,E,D,a,Monoculus.monstrosus,2
bendering,BAH1ED,BAH1ED.1,BAH1,1,E,D,a,Parentucellia.latifolia,1
bendering,BAH1ED,BAH1ED.1,BAH1,1,E,D,a,Ursinia.anthemoides,1
bendering,BAH1ED,BAH1ED.1,BAH1,1,E,D,a,Vulpia.bromoides,30
bendering,BAH1ED,BAH1ED.2,BAH1,2,E,D,h,Arctotheca.calendula,5
bendering,BAH1ED,BAH1ED.2,BAH1,2,E,D,h,Daucus.glochidiatus,5
bendering,BAH1ED,BAH1ED.2,BAH1,2,E,D,h,Lawrencella.rosea,4
bendering,BAH1ED,BAH1ED.2,BAH1,2,E,D,h,Sonchus.oleraceus,2
bendering,BAH1ED,BAH1ED.2,BAH1,2,E,D,h,Vulpia.bromoides,46
bendering,BAH1ED,BAH1ED.3,BAH1,3,E,D,a,Daucus.glochidiatus,2
bendering,BAH1ED,BAH1ED.3,BAH1,3,E,D,a,Hypochaeris.glabra,8
bendering,BAH1ED,BAH1ED.3,BAH1,3,E,D,a,Lawrencella.rosea,1
bendering,BAH1ED,BAH1ED.3,BAH1,3,E,D,a,Monoculus.monstrosus,1
bendering,BAH1ED,BAH1ED.3,BAH1,3,E,D,a,Vulpia.bromoides,70
bendering,BAH1ED,BAH1ED.4,BAH1,4,E,D,h,Arctotheca.calendula,11
bendering,BAH1ED,BAH1ED.4,BAH1,4,E,D,h,Vulpia.bromoides,51
bendering,BAH1MD,BAH1MD.1,BAH1,1,M,D,h,Hypochaeris.glabra,4
bendering,BAH1MD,BAH1MD.2,BAH1,2,M,D,h,Hypochaeris.glabra,2
bendering,BAH1MD,BAH1MD.3,BAH1,3,M,D,a,Arctotheca.calendula,3
bendering,BAH1MD,BAH1MD.4,BAH1,4,M,D,a,Arctotheca.calendula,5
bendering,BAH1MW,BAH1MW.1,BAH1,1,M,W,a,Arctotheca.calendula,10
bendering,BAH1MW,BAH1MW.2,BAH1,2,M,W,a,Arctotheca.calendula,5
bendering,BAH1MW,BAH1MW.3,BAH1,3,M,W,h,Hypochaeris.glabra,9
bendering,BAH1MW,BAH1MW.4,BAH1,4,M,W,h,Hypochaeris.glabra,13
bendering,BAH1NW,BAH1NW.1,BAH1,1,N,W,h,Crassula.colorata.or.exserta,20
bendering,BAH1NW,BAH1NW.1,BAH1,1,N,W,h,Gonocarpus.nodulosus,10
bendering,BAH1NW,BAH1NW.1,BAH1,1,N,W,h,Goodenia.berardiana,3
bendering,BAH1NW,BAH1NW.1,BAH1,1,N,W,h,Rhodanthe.laevis,3
bendering,BAH1NW,BAH1NW.1,BAH1,1,N,W,h,Rhodanthe.manglesii,3
bendering,BAH1NW,BAH1NW.2,BAH1,2,N,W,a,Crassula.colorata.or.exserta,10
bendering,BAH1NW,BAH1NW.2,BAH1,2,N,W,a,Gonocarpus.nodulosus,10
bendering,BAH1NW,BAH1NW.2,BAH1,2,N,W,a,Hydrocotyle.pilifera,2
bendering,BAH1NW,BAH1NW.2,BAH1,2,N,W,a,Lawrencella.rosea,2
bendering,BAH1NW,BAH1NW.2,BAH1,2,N,W,a,Phyllangium.sulcatum,2
bendering,BAH1NW,BAH1NW.2,BAH1,2,N,W,a,Rhodanthe.laevis,3
bendering,BAH1NW,BAH1NW.2,BAH1,2,N,W,a,Rhodanthe.manglesii,1
bendering,BAH1NW,BAH1NW.2,BAH1,2,N,W,a,Waitzia.acuminata,1
bendering,BAH1NW,BAH1NW.3,BAH1,3,N,W,h,Goodenia.berardiana,8
bendering,BAH1NW,BAH1NW.3,BAH1,3,N,W,h,Rhodanthe.laevis,10
bendering,BAH1NW,BAH1NW.3,BAH1,3,N,W,h,Rhodanthe.manglesii,4
bendering,BAH1NW,BAH1NW.4,BAH1,4,N,W,a,Gonocarpus.nodulosus,6
bendering,BAH1NW,BAH1NW.4,BAH1,4,N,W,a,Goodenia.berardiana,6
bendering,BAH1NW,BAH1NW.4,BAH1,4,N,W,a,Rhodanthe.manglesii,1
bendering,BAH1SD,BAH1SD.1,BAH1,1,S,D,a,NA,NA
bendering,BAH1SD,BAH1SD.2,BAH1,2,S,D,h,NA,NA
bendering,BAH1SD,BAH1SD.3,BAH1,3,S,D,h,NA,NA
bendering,BAH1SD,BAH1SD.4,BAH1,4,S,D,a,NA,NA
bendering,BAH1SW,BAH1SW.1,BAH1,1,S,W,a,NA,NA
bendering,BAH1SW,BAH1SW.2,BAH1,2,S,W,a,NA,NA
bendering,BAH1SW,BAH1SW.3,BAH1,3,S,W,h,NA,NA
bendering,BAH1SW,BAH1SW.4,BAH1,4,S,W,h,NA,NA
bendering,BAH2CD,BAH2CD.1,BAH2,1,C,D,a,Arctotheca.calendula,7
bendering,BAH2CD,BAH2CD.1,BAH2,1,C,D,a,Gonocarpus.nodulosus,15
bendering,BAH2CD,BAH2CD.1,BAH2,1,C,D,a,Hypochaeris.glabra,2
bendering,BAH2CD,BAH2CD.1,BAH2,1,C,D,a,Lawrencella.rosea,5
bendering,BAH2CD,BAH2CD.1,BAH2,1,C,D,a,Rhodanthe.laevis,8
bendering,BAH2CD,BAH2CD.1,BAH2,1,C,D,a,Trachymene.cyanopetala,1
bendering,BAH2CD,BAH2CD.2,BAH2,2,C,D,h,Gonocarpus.nodulosus,20
bendering,BAH2CD,BAH2CD.2,BAH2,2,C,D,h,Hydrocotyle.pilifera,1
bendering,BAH2CD,BAH2CD.2,BAH2,2,C,D,h,Hypochaeris.glabra,12
bendering,BAH2CD,BAH2CD.2,BAH2,2,C,D,h,Lawrencella.rosea,4
bendering,BAH2CD,BAH2CD.2,BAH2,2,C,D,h,Oxalis.sp,5
bendering,BAH2CD,BAH2CD.2,BAH2,2,C,D,h,Rhodanthe.laevis,8
bendering,BAH2CD,BAH2CD.3,BAH2,3,C,D,h,Arctotheca.calendula,5
bendering,BAH2CD,BAH2CD.3,BAH2,3,C,D,h,Gonocarpus.nodulosus,3
bendering,BAH2CD,BAH2CD.3,BAH2,3,C,D,h,Oxalis.sp,1
bendering,BAH2CD,BAH2CD.3,BAH2,3,C,D,h,Pentaschistis.airoides,8
bendering,BAH2CD,BAH2CD.3,BAH2,3,C,D,h,Rhodanthe.manglesii,3
bendering,BAH2CD,BAH2CD.4,BAH2,4,C,D,a,Arctotheca.calendula,20
bendering,BAH2CD,BAH2CD.4,BAH2,4,C,D,a,Ehrharta.longiflora,3
bendering,BAH2CD,BAH2CD.4,BAH2,4,C,D,a,Gonocarpus.nodulosus,10
bendering,BAH2CD,BAH2CD.4,BAH2,4,C,D,a,Lawrencella.rosea,3
