Correct.species.name,Origin,Life.form,Height
Angianthus.tomentosus,Native,Annual.forb,308.64
Arctotheca.calendula,Exotic,Annual.forb,156.48
Brachyscome.iberidifolia,Native,Annual.forb,106.25
Brachyscome.sp,Native,Annual.forb,106.25
Brassica.tournefortii,Exotic,Annual.forb,393.33
Calandrinia.eremaea,Native,Annual.forb,41.58
Calotis.hispidula,Native,Annual.forb,51.09
Calotis.multicaulis,Native,Annual.forb,51.09
Ceratogyne.obionoides,Native,Annual.forb,51.75
Chthonocephalus.pseudevax,Native,Annual.forb,2.73
Crassula.colorata.or.exserta,Native,Annual.forb,32.96
Daucus.glochidiatus,Native,Annual.forb,204.5
Echium.plantagineum,Exotic,Annual.forb,370
Ehrharta.longiflora,Exotic,Annual.grass,306.25
Gilberta.tenuifolia,Native,Annual.forb,86.22
Gonocarpus.nodulosus,Native,Annual.forb,130
Goodenia.berardiana,Native,Annual.forb,126
Haloragis.odontocarpa,Native,Annual.forb,97.5
Hyalosperma.glutinosum.subsp.glutinosum,Native,Annual.forb,92.82
Hydrocotyle.pilifera,Native,Annual.forb,36.5
Hypochaeris.glabra,Exotic,Annual.forb,9.25
Lawrencella.rosea,Native,Annual.forb,170.4
Lobelia.gibbosa,Native,Annual.forb,37
Lysimachia.arvensis,Exotic,Annual.forb,142.5
Mesembryanthemum.crystallinum,Exotic,Annual.forb,13.5
Monoculus.monstrosus,Exotic,Annual.forb,343.64
Schoenus.nanus,Native,Annual.sedge,NA
Stenopetalum.lineare,Native,Annual.forb,200.8
Nicotiana.rotundifolia,Native,Annual.forb,55.33
Oxalis.sp,Exotic,Annual.forb,51.25
Parentucellia.latifolia,Exotic,Annual.forb,120
Pentameris.airoides,Exotic,Annual.grass,59.71
Petrorhagia.dubia,Exotic,Annual.forb,NA
Phyllangium.sulcatum,Native,Annual.forb,135
Plantago.debilis,Native,Annual.forb,74.6
Podolepis.canescens,Native,Annual.forb,259.66
Podotheca.gnaphalioides,Native,Annual.forb,124.41
Pogonolepis.muelleriana,Native,Annual.forb,62.18
Ptilotus.sp,Native,NA,NA
Rhodanthe.citrina,Native,Annual.forb,136.81
Rhodanthe.laevis,Native,Annual.forb,68
Rhodanthe.manglesii,Native,Annual.forb,127.35
Rhodanthe.polycephala,Native,Annual.forb,149.17
Schoenia.cassiniana,Native,Annual.forb,155.91
Senecio.glossanthus,Native,Annual.forb,160
Sonchus.oleraceus,Exotic,Annual.forb,314.17
Trachymene.cyanopetala,Native,Annual.forb,104.98
Trachymene.ornata,Native,Annual.forb,136.24
Trifolium.sp,Exotic,Annual.forb,NA
Urospermum.picroides,Exotic,Annual.forb,398.33
Ursinia.anthemoides,Exotic,Annual.forb,218.85
Velleia.cycnopotamica,Native,Annual.forb,35
Velleia.rosea,Native,Annual.forb,74.5
Vulpia.bromoides,Exotic,Annual.grass,160
Wahlenbergia.capensis,Exotic,Annual.forb,100
Wahlenbergia.gracilenta,Native,Annual.forb,100
Waitzia.acuminata,Native,Annual.forb,211
Waitzia.nitida,Native,Annual.forb,211
