"","Reserve.x","Block.x","Plot.ID.x","Quadrant.x","Plot.ID.quadrant","Trt.comp.x","Trt.water.x","Focal.sp.x","Angianthus.tomentosus","Arctotheca.calendula","Brassica.tournefortii","Calandrinia.eremaea","Calotis.hispidula","Calotis.multicaulis","Chthonocephalus.pseudevax","Crassula.colorata.or.exserta","Daucus.glochidiatus","Echium.plantagineum","Ehrharta.longiflora","Gilberta.tenuifolia","Gonocarpus.nodulosus","Goodenia.berardiana","Haloragis.odontocarpa","Lawrencella.rosea","Lobelia.sp","Monoculus.monstrosus","Nicotiana.rotundifolia","Oxalis.sp","Parentucellia.latifolia","Pentaschistis.airoides","Peperomia-like weed","Petrorhagia.velutina","Plantago.debilis","Podolepis.canescens","Podotheca.gnaphalioides","Pogonolepis.muelleriana","Ptilotus.sp","Rhodanthe.citrina","Rhodanthe.laevis","Rhodanthe.manglesii","Schoenia.cassiniana","Schoenus.nanus","Senecio.glossanthus","Sonchus.oleraceus","Stenopetalum.lineare","Trifolium.sp","Urospermum.picroides","Ursinia.anthemoides","Velleia.rosea","Vulpia.bromoides","Wahlenbergia.capensis","Wahlenbergia.gracilenta","Waitzia.acuminata","Waitzia.nitida","<NA>","Plot","Number.flowers.total","Seedcount.extrapolated.integer","Colwell.P","Canopy"
"1","bendering","BAH1","BAH1ED",1,"BAH1ED.1","E","D","A",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0,0,0,0,0,3,2,NA,34.2,0.5188
"2","bendering","BAH1","BAH1ED",2,"BAH1ED.2","E","D","H",0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,46,0,0,0,0,0,3,2,NA,34.2,0.5188
"3","bendering","BAH1","BAH1ED",3,"BAH1ED.3","E","D","A",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,3,1,NA,34.2,0.5188
"4","bendering","BAH1","BAH1MD",1,"BAH1MD.1","M","D","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,NA,34.2,0.462
"5","bendering","BAH1","BAH1MD",2,"BAH1MD.2","M","D","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,NA,34.2,0.462
"6","bendering","BAH1","BAH1MD",3,"BAH1MD.3","M","D","A",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,NA,34.2,0.462
"7","bendering","BAH1","BAH1MD",4,"BAH1MD.4","M","D","A",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,34.2,0.462
"8","bendering","BAH1","BAH1MW",1,"BAH1MW.1","M","W","A",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,18.1,0.43058
"9","bendering","BAH1","BAH1MW",2,"BAH1MW.2","M","W","A",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,53,18.1,0.43058
"10","bendering","BAH1","BAH1MW",3,"BAH1MW.3","M","W","H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,NA,18.1,0.43058
